Date,EEM,FM,SPY
2014-01-31,-0.08637203052571618,0.0017697211343126185,-0.03525634612330686
2014-02-28,0.033742676150968265,0.033396173963893494,0.04547945308086487
2014-03-31,0.038730557019403644,0.03776632193880691,0.008272365755253697
2014-04-30,0.00778590444000038,0.02563875006309413,0.0069351363294638535
2014-05-31,0.029493769372928913,0.0459673030415515,0.023180774660385595
2014-06-30,0.02400115869116637,-0.05151856859338466,0.02062860307156167
2014-07-31,0.013633141927491765,0.06707648058247129,-0.01345246369919395
2014-08-31,0.02828252449416757,-0.0091083248068754,0.03944836091972315
2014-09-30,-0.07768508881016978,-0.007876238241508515,-0.013807034751015856
2014-10-31,0.014193585003943188,-0.04017198540732925,0.023548627995065408
2014-11-30,-0.015424896351572293,-0.04667269350197645,0.027467722061469413
2014-12-31,-0.03966621909381607,-0.021056868127360184,-0.0025674346124541225
2015-01-31,-0.006876394726312185,-0.0295496888039416,-0.029633653161572626
2015-02-28,0.04407336623690905,0.024081777236683255,0.05619804688931773
2015-03-31,-0.014993869718336827,-0.028443035876904665,-0.01572677592342342
2015-04-30,0.06852312204769562,0.04236281859321789,0.00982982794484255
2015-05-31,-0.04104735918321423,-0.03548640097836986,0.012853769849546559
2015-06-30,-0.02931670353499749,-0.0005832850698845871,-0.020320421268150257
2015-07-31,-0.06314827297435355,-0.06325299498640313,0.022541039237729876
2015-08-31,-0.08836413497252227,-0.03391938333383249,-0.060952867891713614
2015-09-30,-0.0313279101856937,-0.05096672549895542,-0.02552012347266064
2015-10-31,0.06370148626681904,0.0635869747247797,0.08500336813145437
2015-11-30,-0.025377846923593572,-0.055863307060885825,0.003513092311749455
2015-12-31,-0.03832196640047747,-0.01104715155923408,-0.01740545163285212
2016-01-31,-0.050575674216151945,-0.07819236194151669,-0.05003625261377198
2016-02-29,-0.008434342463217614,0.041573574622812526,-0.0010821386403496724
2016-03-31,0.12945680565405637,0.027442789079338947,0.0671053159054813
2016-04-30,0.0039269815543159226,0.02344528964187842,0.003780276856578002
2016-05-31,-0.037164909360397624,0.021633449761381263,0.016776409453739705
2016-06-30,0.04538460973838543,-0.027510289407554178,0.0032693821972418213
2016-07-31,0.053641793342626976,0.024708489826454683,0.036271631595109266
2016-08-31,0.008570845802875482,-0.03293576149522737,0.0009309317646395421
2016-09-30,0.024968683262121205,0.05744413058799447,-0.00015845619161214408
2016-10-31,-0.008523369129023406,-0.03568162640407824,-0.01758243665983683
2016-11-30,-0.04454608219490108,-0.0040224078775759065,0.03644931532678708
2016-12-31,-0.002926264920032118,0.007545749361283383,0.019872719580468212
2017-01-31,0.06613682276982247,0.11065069026563834,0.017478881396749024
2017-02-28,0.01697322426618597,-0.0218038323140618,0.03885664091243557
2017-03-31,0.03623861175180587,0.026033967942725278,0.0006370884832338497
2017-04-30,0.01636146187278964,0.034680416453301,0.009278631610805776
2017-05-31,0.027669085344853794,0.005130769640003141,0.013324675025675026
2017-06-30,0.00844252004410162,-0.0021386574871391506,0.005550991811179573
2017-07-31,0.057353484628985374,0.023619498772145864,0.019680743997414263
2017-08-31,0.022704794516935856,0.035049403512103394,0.0021065069882584275
2017-09-30,-0.0012988744398979568,0.03211771245572215,0.019296777650051
2017-10-31,0.03187426799546711,0.010240568824021468,0.022633018869727684
2017-11-30,-0.004915190711215378,0.03338062859641355,0.02954009110089073
2017-12-31,0.03649309062169803,0.021942444778777714,0.011005783700651639
2018-01-31,0.08179588859554432,0.06524121969420715,0.05517483222124442
2018-02-28,-0.060323419491252084,-0.025687510777048006,-0.037698562532579416
2018-03-31,0.004033442945173826,0.017481589528784536,-0.028791700192532743
2018-04-30,-0.029626564236839736,-0.05215530985882577,0.0037107570065202378
