Date,EEM,FM,SPY
2014-01-31,-0.08636369757448914,0.0017780540855396598,-0.03524801317207982
2014-02-28,0.03377850242530478,0.03343200023823001,0.04551527935520139
2014-03-31,0.0387538873595481,0.03778965227895137,0.008295696095398153
2014-04-30,0.00780256957871206,0.02565541520180581,0.006951801468175534
2014-05-31,0.029518765935528934,0.04599229960415152,0.023205771222985616
2014-06-30,0.02401782382987805,-0.05150190345467298,0.02064526821027335
2014-07-31,0.013648140689488386,0.06709147934446791,-0.01343746493719733
2014-08-31,0.028297523256164192,-0.00909332604487878,0.03946335968171977
2014-09-30,-0.07767425612204548,-0.00786540555338422,-0.01379620206289156
2014-10-31,0.014196084969590572,-0.04016948544168186,0.023551127960712792
2014-11-30,-0.015420729780481923,-0.04666852693088608,0.027471888632559782
2014-12-31,-0.03963539098766933,-0.021026040021213444,-0.0025366065063073817
2015-01-31,-0.006872228155221816,-0.02954552223285123,-0.029629486590482257
2015-02-28,0.044080032659460366,0.02408844365923457,0.05620471331186905
2015-03-31,-0.01497303877146472,-0.028422204930032557,-0.01570594497655131
2015-04-30,0.06852728861878599,0.04236698516430826,0.00983399451593292
2015-05-31,-0.04104485921756684,-0.035483901012722474,0.012856269815193944
2015-06-30,-0.02930837058377045,-0.0005749521186575457,-0.020312088316923216
2015-07-31,-0.06309995248626232,-0.06320467449831191,0.0225893597258211
2015-08-31,-0.08836163500687488,-0.0339168833681851,-0.06095036792606623
2015-09-30,-0.03132374361460333,-0.050962558927865054,-0.02551595690157027
2015-10-31,0.06375813528312113,0.06364362374108179,0.08506001714775646
2015-11-30,-0.025236290517644977,-0.05572175065493723,0.0036546487176980502
2015-12-31,-0.03819871664764696,-0.010923901806403569,-0.017282201880021608
2016-01-31,-0.050326017298828796,-0.07794270502419354,-0.04978659569644883
2016-02-29,-0.008178037414332318,0.04182987967169782,-0.0008258335914643755
2016-03-31,0.12961749689515867,0.027603480320441243,0.0672660071465836
2016-04-30,0.004087672795418218,0.023605980882980715,0.003940968097680297
2016-05-31,-0.03692938137695445,0.021868977744824436,0.017011937437182878
2016-06-30,0.04559104186210283,-0.027303857283836774,0.003475814320959225
2016-07-31,0.05384157367491049,0.0249082701587382,0.03647141192739278
2016-08-31,0.008837122150231913,-0.032669485147870936,0.0011972081119959732
2016-09-30,0.02518509215449316,0.057660539480366424,5.795270075981129e-05
2016-10-31,-0.008277867568627917,-0.03543612484368275,-0.017336935099441342
2016-11-30,-0.044156916256473444,-0.0036332419391482684,0.03683848126521472
2016-12-31,-0.0025271422396768717,0.007944872041638629,0.02027184226082346
2017-01-31,0.06655253761455149,0.11106640511036736,0.017894596241478045
2017-02-28,0.017408016349868882,-0.02136904023037889,0.03929143299611848
2017-03-31,0.03685154125001855,0.026646897440937956,0.0012500179814465273
2017-04-30,0.01700914961367639,0.03532810419418775,0.009926319351692525
2017-05-31,0.028457325730875116,0.005919010026024463,0.014112915411696347
2017-06-30,0.009266277582182347,-0.0013148999490584234,0.0063747493492603
2017-07-31,0.05822677784679442,0.02449279198995491,0.02055403721522331
2017-08-31,0.02351616393232736,0.0358607729274949,0.0029178764036499327
2017-09-30,-0.00044621779079256907,0.032970369104827535,0.020149434299156388
2017-10-31,0.03280531881665261,0.011171619645206965,0.02356406969091318
2017-11-30,-0.003889331977341981,0.03440648733028695,0.030565949834764128
2017-12-31,0.03761530482272013,0.023064658979799812,0.012127997901673737
2018-01-31,0.0829798154578365,0.06642514655649934,0.0563587590835366
2018-02-28,-0.058984982990296864,-0.024349074276092786,-0.036360126031624196
2018-03-31,0.00541456981336319,0.0188627163969739,-0.02741057332434338
2018-04-30,-0.028169137019429136,-0.05069788264141517,0.005168184223930838
2018-05-31,-0.026214882571422904,-0.09300931686389136,0.024308953960905377
2018-06-30,-0.045456750993093875,-0.021206429901437507,0.005750811636465514
2018-07-31,0.03531022861825206,0.03158624123801923,0.037046817971901236
2018-08-31,-0.037672605495803424,-0.05989229148055586,0.03192000380727644
2018-09-30,-0.005791297199762679,0.017895642287275804,0.005945374268284009
2018-10-31,-0.08760460442364393,-0.04817186847279897,-0.0691041815084914
2018-11-30,0.049029567697609355,0.01957890978039889,0.01854888409873401
2018-12-31,-0.03488884506992329,-0.04128565767986869,-0.08804822544533886
2019-01-31,0.10343032222896498,0.08145315107737372,0.08006567562595168
2019-02-28,-0.015313019858544386,0.007072271327089652,0.032415559795553994
2019-03-31,0.011310180609836129,-0.0007024058307674164,0.018100772326651082
2019-04-30,0.023532006058259114,-0.004216266596239415,0.040852210314207715
2019-05-31,-0.07329827970509228,0.01305549693309449,-0.06377106403632504
2019-06-30,0.062077263296079765,0.059942922253787945,0.06958614230934135
2019-07-31,-0.026567254841432186,0.0020256757306931217,0.0151195630022527
2019-08-31,-0.03782614901817083,-0.028301903148812757,-0.016743007601086046
2019-09-30,0.016919487485391516,-0.024272001320671976,0.019457756626462208
2019-10-31,0.04184007309933713,0.004619904763510041,0.022104545824122468
2019-11-30,-0.0009393264499552023,0.03395831425699969,0.03619822835132158
2019-12-31,0.0773026140316635,0.043734027599817704,0.029055544150729862
2020-01-31,-0.061510844591918024,0.008896240617824791,-0.00040405114821917554
2020-02-29,-0.037758351228249776,-0.10287389186058105,-0.07916579242132538
2020-03-31,-0.15769986050149576,-0.2227886290930844,-0.12487113467248734
2020-04-30,0.0735423768642347,0.0622951838233492,0.12698302597586775
2020-05-31,0.029748743838088787,0.03968250852845423,0.04764588123247315
2020-06-30,0.06604929854170716,0.05459097099771193,0.017734205485139265
2020-07-31,0.08252044157019256,-0.015702342346470832,0.058892239915447675
2020-08-31,0.02887498459179061,0.07220833496252266,0.06979670180404063
2020-09-30,-0.010103208435295108,0.0019575306923207414,-0.03744361008684083
2020-10-31,0.014061964910612401,0.026963719398960695,-0.024933466899525136
2020-11-30,0.0899128662043247,0.03500766090580831,0.10877691823532598
2020-12-31,0.07129459178466502,0.04935227797845454,0.0370483888811306
2021-01-31,0.03173996845368032,0.022222063703269512,-0.010190533651618039
2021-02-28,0.007878454468393858,-0.004140644730811327,0.027805541425885538
2021-03-31,-0.0072585958757158675,0.021829590021014367,0.04539924758326741
2021-04-30,0.011998501242213688,0.045438950058088956,0.05291033871733175
