Date,^IRX
2014-01-31,8.332951227041363e-06
2014-02-28,3.582627433651453e-05
2014-03-31,2.333034014445623e-05
2014-04-30,1.6665138711680072e-05
2014-05-31,2.4996562600021477e-05
2014-06-30,1.6665138711680072e-05
2014-07-31,1.4998761996620757e-05
2014-08-31,1.4998761996620757e-05
2014-09-30,1.0832688124295942e-05
2014-10-31,2.4999656473845278e-06
2014-11-30,4.166571090369331e-06
2014-12-31,3.082810614674081e-05
2015-01-31,4.166571090369331e-06
2015-02-28,6.666422551315776e-06
2015-03-31,2.0830946872107958e-05
2015-04-30,4.166571090369331e-06
2015-05-31,2.4999656473845278e-06
2015-06-30,8.332951227041363e-06
2015-07-31,4.832048809122469e-05
2015-08-31,2.4999656473845278e-06
2015-09-30,4.166571090369331e-06
2015-10-31,5.6649016302090516e-05
2015-11-30,0.0001415564059485952
2015-12-31,0.0001232497528305121
2016-01-31,0.0002496569173231489
2016-02-29,0.0002563050488852969
2016-03-31,0.00016069124110229538
2016-04-30,0.00016069124110229538
2016-05-31,0.00023552798344317338
2016-06-30,0.00020643212371740383
2016-07-31,0.00019978033228351677
2016-08-31,0.00026627634735643113
2016-09-30,0.00021640889237195537
2016-10-31,0.0002455015603954891
2016-11-30,0.000389165938427638
2016-12-31,0.0003991226803552461
2017-01-31,0.00041571484472902043
2017-02-28,0.0004347920836829111
2017-03-31,0.0006129294982126776
2017-04-30,0.0006476877408867487
2017-05-31,0.0007882403860213216
2017-06-30,0.0008237575380807272
2017-07-31,0.0008732932178090458
2017-08-31,0.0008113694153915052
2017-09-30,0.0008526566491053877
2017-10-31,0.0009310508211854973
2017-11-30,0.001025858733873397
2017-12-31,0.0011222142010220981
2018-01-31,0.001183926862292184
2018-02-28,0.0013384365009552202
2018-03-31,0.001381126868189364
2018-04-30,0.0014574272174106007
2018-05-31,0.0015451345472263789
2018-06-30,0.0015533271711649643
2018-07-31,0.0016393053442540495
2018-08-31,0.0016965790905774103
2018-09-30,0.0017742501399236055
2018-10-31,0.001878796999571719
2018-11-30,0.001903282792601324
2018-12-31,0.001896753774651705
2019-01-31,0.001929393601714402
2019-02-28,0.001964468395054819
2019-03-31,0.001919602998394332
2019-04-30,0.0019522346399660773
2019-05-31,0.0018910406216194886
2019-06-30,0.001680218866393135
2019-07-31,0.0016761282535162625
2019-08-31,0.0015967357950190664
2019-09-30,0.0014631676391301252
2019-10-31,0.0012398436480758335
2019-11-30,0.0012743632412606232
2019-12-31,0.0012455978064640494
2020-01-31,0.0012497077108970522
2020-02-29,0.0010192665837294168
2020-03-31,2.4996562600021477e-05
2020-04-30,7.496908325510532e-05
2020-05-31,0.00010660414507634997
2020-06-30,0.00011243045506881266
2020-07-31,6.914036582772454e-05
2020-08-31,7.913221609512355e-05
2020-09-30,7.080575356832597e-05
2020-10-31,6.914036582772454e-05
2020-11-30,6.247852839580403e-05
2020-12-31,5.4150534226415914e-05
2021-01-31,3.999120304531978e-05
2021-02-28,2.9161989017367773e-05
2021-03-31,1.0832688124295942e-05
2021-04-30,2.4999656473845278e-06
2021-05-31,6.666422551315776e-06
2021-06-30,3.332722303861502e-05
2021-07-31,3.332722303861502e-05
2021-08-31,3.332722303861502e-05
2021-09-30,2.333034014445623e-05
2021-10-31,3.999120304531978e-05
2021-11-30,3.999120304531978e-05
2021-12-31,2.7495841352642714e-05
2022-01-31,0.00014405247484949868
2022-02-28,0.00023968377138627872
2022-03-31,0.00040990793522888147
2022-04-30,0.0006708525758674089
2022-05-31,0.0008543077271732091
2022-06-30,0.0013236543740895446
2022-07-31,0.0018951215929738918
2022-08-31,0.0023526509284592656
2022-09-30,0.0026121432562891123
2022-10-31,0.0032536398598879135
2022-11-30,0.003476901211005634
2022-12-31,0.003482516213296316
2023-01-31,0.0037308188484965754
2023-02-28,0.003842734332838882
2023-03-31,0.0037428162652932695
2023-04-30,0.004012742952280712
2023-05-31,0.004271537569666695
2023-06-30,0.004195965621348385
2023-07-31,0.004271537569666695
2023-08-31,0.004311286828115657
2023-09-30,0.004312876711426439
2023-10-31,0.004328771369539242
2023-11-30,0.004263585413325277
2023-12-31,0.0042174502286933535
